parent_id,expence_type,is_expence,taxability,type,item_id,hsn,uom,qty,rate,igst,igst_amt,cgst,cgst_amt,sgst,sgst_amt,total,item_disc,discount
64,,0,Taxable,return,48,21061000,PCS,1.00,1408.47,18.00,253.52,9.00,126.76,9.00,126.76,1408.47,0,0.00
65,,0,Taxable,return,50,95061900,PCS,1.00,2418.64,18.00,435.36,9.00,217.68,9.00,217.68,2418.64,0,0.00
66,,0,Taxable,return,46,90321090,PCS,1.00,4240.68,18.00,763.32,9.00,381.66,9.00,381.66,4240.68,0,0.00
67,,0,Taxable,return,48,21061000,PCS,1.00,2636.44,18.00,474.56,9.00,237.28,9.00,237.28,2636.44,0,0.00
68,,0,Taxable,return,46,90321090,PCS,1.00,13558.47,18.00,2440.52,9.00,1220.26,9.00,1220.26,13558.47,0,0.00
70,,0,Exempt,return,2,49011010,PCS,1.00,3715.00,0.00,0.00,0.00,0.00,0.00,0.00,3715.00,0,0.00
71,,0,Exempt,return,2,49011010,PCS,1.00,1672.00,0.00,0.00,0.00,0.00,0.00,0.00,1672.00,0,0.00
72,,0,Taxable,return,44,84732100,PCS,1.00,1118.64,18.00,201.36,9.00,100.68,9.00,100.68,1118.64,0,0.00
74,,0,Taxable,return,46,90321090,PCS,1.00,2533.25,18.00,455.99,9.00,227.99,9.00,227.99,2533.25,0,0.00
75,,0,Taxable,return,57,91022990,PCS,1.00,1361.86,18.00,245.13,9.00,122.57,9.00,122.57,1361.86,0,0.00
76,,0,Taxable,return,48,21061000,PCS,1.00,3780.51,18.00,680.49,9.00,340.25,9.00,340.25,3780.51,0,0.00
77,,0,Taxable,return,46,90321090,PCS,1.00,2550.00,18.00,459.00,9.00,229.50,9.00,229.50,2550.00,0,0.00
78,,0,Taxable,return,50,95061900,PCS,1.00,1408.47,18.00,253.52,9.00,126.76,9.00,126.76,1408.47,0,0.00
79,,0,Taxable,return,61,90230090,PCS,1.00,4784.75,18.00,861.26,9.00,430.63,9.00,430.63,4784.75,0,0.00
80,,0,Taxable,return,46,90321090,PCS,1.00,1718.64,18.00,309.36,9.00,154.68,9.00,154.68,1718.64,0,0.00
81,,0,Taxable,return,46,90321090,PCS,1.00,2550.85,18.00,459.15,9.00,229.58,9.00,229.58,2550.85,0,0.00
82,,0,Taxable,return,45,69120090,PCS,1.00,2983.05,18.00,536.95,9.00,268.47,9.00,268.47,2983.05,0,0.00
83,,0,Exempt,return,2,49011010,PCS,1.00,1767.00,0.00,0.00,0.00,0.00,0.00,0.00,1767.00,0,0.00
84,,0,Taxable,return,50,95061900,PCS,1.00,2000.00,18.00,360.00,9.00,180.00,9.00,180.00,2000.00,0,0.00
86,,0,Taxable,return,44,84732100,PCS,1.00,6234.75,18.00,1122.26,9.00,561.13,9.00,561.13,6234.75,0,0.00
87,,0,Taxable,return,45,69120090,PCS,1.00,12897.46,18.00,2321.54,9.00,1160.77,9.00,1160.77,12897.46,0,0.00
88,,0,Exempt,return,2,49011010,PCS,1.00,3588.31,0.00,0.00,0.00,0.00,0.00,0.00,3588.31,0,0.00
89,,0,Taxable,return,61,90230090,PCS,1.00,2724.90,18.00,490.48,9.00,245.24,9.00,245.24,2724.90,0,0.00
90,,0,Taxable,return,54,84511090,PCS,1.00,13783.05,18.00,2480.95,9.00,1240.47,9.00,1240.47,13783.05,0,0.00
92,,0,Taxable,return,44,84732100,PCS,1.00,3390.68,18.00,610.32,9.00,305.16,9.00,305.16,3390.68,0,0.00
93,,0,Taxable,return,28,"92079000 ",PCS,1.00,1087.29,18.00,195.71,9.00,97.86,9.00,97.86,1087.29,0,0.00
2,,0,Exempt,invoice,2,49011010,PCS,1.00,2660.00,0.00,0.00,0.00,0.00,0.00,0.00,2660.00,0,0.00
94,,0,Exempt,return,2,49011010,PCS,1.00,2091.10,0.00,0.00,0.00,0.00,0.00,0.00,2091.10,0,0.00
95,,0,Taxable,return,45,69120090,PCS,1.00,796.61,18.00,143.39,9.00,71.69,9.00,71.69,796.61,0,0.00
96,,0,Exempt,return,2,49011010,PCS,1.00,3153.66,0.00,0.00,0.00,0.00,0.00,0.00,3153.66,0,0.00
97,,0,Taxable,return,50,95061900,PCS,1.00,781.36,18.00,140.64,9.00,70.32,9.00,70.32,781.36,0,0.00
98,,0,Taxable,return,44,84732100,PCS,1.00,3390.68,18.00,610.32,9.00,305.16,9.00,305.16,3390.68,0,0.00
99,,0,Taxable,return,61,90230090,PCS,1.00,1894.10,18.00,340.94,9.00,170.47,9.00,170.47,1894.10,0,0.00
100,,0,Taxable,return,46,90321090,PCS,1.00,2488.14,18.00,447.87,9.00,223.93,9.00,223.93,2488.14,0,0.00
101,,0,Taxable,return,54,84511090,PCS,1.00,10830.51,18.00,1949.49,9.00,974.75,9.00,974.75,10830.51,0,0.00
102,,0,Taxable,return,49,61171090,PCS,1.00,3877.12,18.00,697.88,9.00,348.94,9.00,348.94,3877.12,0,0.00
103,,0,Taxable,return,44,84732100,PCS,1.00,3390.68,18.00,610.32,9.00,305.16,9.00,305.16,3390.68,0,0.00
104,,0,Exempt,return,2,49011010,PCS,1.00,2978.00,0.00,0.00,0.00,0.00,0.00,0.00,2978.00,0,0.00
105,,0,Taxable,return,46,90321090,PCS,1.00,20534.75,18.00,3696.26,9.00,1848.13,9.00,1848.13,20534.75,0,0.00
106,,0,Taxable,return,48,21061000,PCS,1.00,2650.00,18.00,477.00,9.00,238.50,9.00,238.50,2650.00,0,0.00
107,,0,Exempt,return,2,49011010,PCS,1.00,3602.28,0.00,0.00,0.00,0.00,0.00,0.00,3602.28,0,0.00
108,,0,Taxable,return,46,90321090,PCS,1.00,1712.72,18.00,308.29,9.00,154.14,9.00,154.14,1712.72,0,0.00
parent_id,expence_type,is_expence,taxability,type,item_id,hsn,uom,qty,rate,igst,igst_amt,cgst,cgst_amt,sgst,sgst_amt,total,item_disc,discount
